Date_shamsi,full_index,turnover,value
1390-01-06,23756.3,116210000,4.2588E+11
1390-01-07,24199.8,242110000,8.0812E+11
1390-01-08,24287.8,232860000,6.9759E+11
1390-01-09,24486.6,208030000,6.9105E+11
1390-01-10,24486,360400000,1.19289E+12
1390-01-14,24543.6,169730000,5.4879E+11
1390-01-15,25023.3,368480000,1.34362E+12
1390-01-16,25550.4,413230000,1.6269E+12
1390-01-17,25885.1,545670000,2.06266E+12
1390-01-20,26222.7,817580000,3.02921E+12
1390-01-21,26002.6,567870000,1.90973E+12
1390-01-22,26145.2,408310000,1.51353E+12
1390-01-23,26412.7,405190000,1.36948E+12
1390-01-24,26541.9,413900000,1.7196E+12
1390-01-27,26675.9,355340000,1.22867E+12
1390-01-28,26446.6,225420000,8.1542E+11
1390-01-29,26429.2,403420000,1.45769E+12
1390-01-30,26215.4,431080000,1.9053E+12
1390-01-31,26481.5,236740000,8.9221E+11
1390-02-03,26610.1,308670000,8.6312E+11
1390-02-04,26539.7,268510000,7.9244E+11
1390-02-05,26261.5,286170000,6.9872E+11
1390-02-06,26273.6,872160000,2.54924E+12
1390-02-07,25781.8,413560000,1.57902E+12
1390-02-10,25321.7,280110000,9.674E+11
1390-02-11,24685.3,602880000,1.35487E+12
1390-02-12,25037.7,242350000,9.7348E+11
1390-02-13,25211.2,386680000,1.43977E+12
1390-02-14,25520.2,258810000,8.8566E+11
1390-02-18,25366.6,245180000,8.4611E+11
1390-02-19,25752.7,233560000,8.1053E+11
1390-02-20,26041.7,359110000,1.3284E+12
1390-02-21,26002.8,232490000,8.2232E+11
1390-02-24,26033.6,151470000,6.6271E+11
1390-02-25,25908.5,196690000,7.6375E+11
1390-02-26,25759.7,148380000,5.2468E+11
1390-02-27,25773.4,123080000,4.6929E+11
1390-02-28,25940.8,258000000,8.5095E+11
1390-02-31,26155.6,258770000,1.12493E+12
1390-03-01,26055.5,410790000,1.05992E+12
1390-03-02,26059.8,198910000,8.2574E+11
1390-03-03,25861.9,182390000,5.9917E+11
1390-03-04,25290.7,849830000,2.91647E+12
1390-03-07,25043.4,160670000,5.5832E+11
1390-03-08,24600.6,278470000,6.7437E+11
